2025-07-14 13:52:06	INFO		Deleted offer with ID 47299
2025-07-14 13:52:06	INFO		Deleted offer with ID 47743
2025-07-14 13:52:06	INFO		Deleted offer with ID 47926
2025-07-14 13:52:06	INFO		Deleted offer with ID 47947
2025-07-14 13:52:06	INFO		Deleted offer with ID 48068
2025-07-14 13:52:06	INFO		Deleted offer with ID 48202
2025-07-14 13:52:06	INFO		Deleted offer with ID 48224
2025-07-14 13:52:06	INFO		Deleted offer with ID 48414
2025-07-14 13:52:06	INFO		Deleted offer with ID 48464
2025-07-14 13:52:06	INFO		Deleted offer with ID 48552
2025-07-14 13:52:06	INFO		Deleted offer with ID 48561
2025-07-14 13:52:06	INFO		Deleted offer with ID 48628
2025-07-14 13:52:06	INFO		Deleted offer with ID 48630
2025-07-14 13:52:06	INFO		Deleted offer with ID 48691
2025-07-14 13:52:06	INFO		Deleted offer with ID 48714
2025-07-14 13:52:06	INFO		Deleted offer with ID 48789
2025-07-14 13:52:06	INFO		Deleted offer with ID 48795
2025-07-14 13:52:06	INFO		Deleted offer with ID 48823
2025-07-14 13:52:06	INFO		Deleted offer with ID 48880
2025-07-14 13:52:06	INFO		Deleted offer with ID 48888
2025-07-14 13:52:06	INFO		Deleted offer with ID 48919
2025-07-14 13:52:06	INFO		Deleted offer with ID 48926
2025-07-14 13:52:06	INFO		Deleted offer with ID 48977
2025-07-14 13:52:06	INFO		Deleted offer with ID 48978
2025-07-14 13:52:06	INFO		Deleted offer with ID 48989
2025-07-14 13:52:06	INFO		Deleted offer with ID 48990
2025-07-14 13:52:06	INFO		Deleted offer with ID 49016
2025-07-14 13:52:06	INFO		Deleted offer with ID 49043
2025-07-14 13:52:06	INFO		Deleted offer with ID 49044
2025-07-14 13:52:06	INFO		Deleted offer with ID 49057
2025-07-14 13:52:06	INFO		Deleted offer with ID 49081
2025-07-14 13:52:06	INFO		Deleted offer with ID 49083
2025-07-14 13:52:06	INFO		Deleted offer with ID 49086
2025-07-14 13:52:06	INFO		Deleted offer with ID 49088
2025-07-14 13:52:06	INFO		Deleted offer with ID 49090
2025-07-14 13:52:06	INFO		Deleted offer with ID 49092
2025-07-14 13:52:06	INFO		Deleted offer with ID 49093
2025-07-14 13:52:06	INFO		Deleted offer with ID 49094
2025-07-14 13:52:06	INFO		Deleted offer with ID 49095
2025-07-14 13:52:06	INFO		Deleted offer with ID 49096
2025-07-14 13:52:06	INFO		Deleted offer with ID 49097
2025-07-14 13:52:06	INFO		Deleted offer with ID 49102
2025-07-14 13:52:06	INFO		Deleted offer with ID 49106
2025-07-14 13:52:06	INFO		Deleted offer with ID 49107
2025-07-14 13:52:06	INFO		Deleted offer with ID 49109
2025-07-14 13:52:06	INFO		Deleted offer with ID 49112
2025-07-14 13:52:06	INFO		Deleted offer with ID 49330
2025-07-14 13:52:06	INFO		Deleted offer with ID 49400
2025-07-14 13:52:06	INFO		Deleted offer with ID 49422
2025-07-14 13:52:06	INFO		Deleted offer with ID 49425
2025-07-14 13:52:06	INFO		Deleted offer with ID 49447
2025-07-14 13:52:06	INFO		Deleted offer with ID 49448
2025-07-14 13:52:06	INFO		Deleted offer with ID 49482
2025-07-14 13:52:06	INFO		Deleted offer with ID 49498
2025-07-14 13:52:06	INFO		Deleted offer with ID 49625
2025-07-14 13:52:06	INFO		Deleted offer with ID 49734
2025-07-14 13:52:06	INFO		Deleted offer with ID 49736
2025-07-14 13:52:06	INFO		Deleted offer with ID 49737
2025-07-14 13:52:06	INFO		Deleted offer with ID 49740
2025-07-14 13:52:06	INFO		Deleted offer with ID 49746
2025-07-14 13:52:06	INFO		Deleted offer with ID 49774
2025-07-14 13:52:06	INFO		Deleted offer with ID 49879
2025-07-14 13:52:06	INFO		Deleted offer with ID 49938
